SeriesName,CountryName,CountryCode,ContinentName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Electric power consumption (kWh per capita),Tanzania,TZA,Africa,59.10592438,62.90377067,68.28964136,68.13844609,79.8025306,79.60922042,65.36251301,81.7818181,86.34789591,72.43376571,96.62538384,87.33760602,97.80568213,100.2428393,103.6833158,..
Electric power consumption (kWh per capita),Thailand,THA,Asia,1448.072664,1504.756214,1617.566362,1713.620908,1827.239844,1914.801243,2005.256263,2080.2463,2105.440076,2101.14613,2307.804679,2283.748446,2443.615559,2514.759041,2538.79638,..
Electric power consumption (kWh per capita),Timor-Leste,TLS,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),Togo,TGO,Africa,95.23999056,98.96165325,96.20877767,102.989529,107.3564597,109.4154294,108.4527181,102.3586576,104.8752182,124.1434144,124.1108439,134.7798184,144.3796672,144.3623691,154.6652373,..
Electric power consumption (kWh per capita),Tonga,TON,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),Trinidad and Tobago,TTO,North America,3993.203662,4101.81562,4083.892037,4771.888164,4698.776783,5143.840889,5309.540206,5672.356091,5711.164349,5717.184105,6189.07395,6383.131589,6612.795644,6848.637069,7092.932612,..
Electric power consumption (kWh per capita),Tunisia,TUN,Africa,976.4790103,1035.338006,1066.126269,993.5369322,1034.595232,1083.531031,1107.61327,1151.025267,1188.926944,1274.120262,1364.989839,1323.045873,1408.868552,1425.917088,1454.642287,..
Electric power consumption (kWh per capita),Turkey,TUR,Asia,1652.746353,1612.99863,1667.363391,1771.827199,1891.84063,2013.888274,2179.071426,2347.638137,2422.712044,2314.690995,2491.628713,2695.051593,2768.970513,2755.511088,2847.126383,..
Electric power consumption (kWh per capita),Turkmenistan,TKM,Asia,1692.155656,1782.833485,1776.353822,1746.230408,1913.721581,2051.677454,2115.544575,2254.349515,2316.559919,2353.456122,2382.05084,2412.020676,2428.861596,2540.821318,2678.763514,..
Electric power consumption (kWh per capita),Turks and Caicos Islands,TCA,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),Tuvalu,TUV,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),Uganda,UGA,Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),Ukraine,UKR,Europe,2778.400252,2791.765305,2844.812724,2997.974461,3151.145969,3246.034284,3399.519695,3528.92445,3534.357992,3227.953261,3549.844551,3662.444428,3640.553483,3600.225704,3418.569242,..
Electric power consumption (kWh per capita),United Arab Emirates,ARE,Asia,12314.05122,12133.63898,12502.66976,12366.06705,11958.99296,12279.91217,11693.38969,11451.91363,11294.18814,10618.80129,10609.95641,10287.05645,10416.01488,10724.50154,11088.35029,..
Electric power consumption (kWh per capita),United Kingdom,GBR,Europe,6114.529259,6141.982551,6142.749834,6174.550896,6138.754137,6270.984059,6200.554113,6102.396768,6015.726861,5643.128595,5700.855864,5471.933475,5449.259473,5409.626422,5130.390253,..
Electric power consumption (kWh per capita),United States,USA,North America,13671.05202,13046.61415,13296.1823,13307.49201,13388.58971,13704.57705,13583.26696,13657.45283,13663.42797,12913.71469,13395.13993,13247.01313,12966.11593,13006.7492,12997.44863,..
Electric power consumption (kWh per capita),Uruguay,URY,South America,2031.185612,2001.219075,1998.773316,1885.567391,1930.467057,2001.924858,2224.694105,2419.149822,2594.43911,2670.10899,2815.786144,2822.257723,2946.456528,3001.381645,3085.194419,..
Electric power consumption (kWh per capita),Uzbekistan,UZB,Asia,1780.457924,1769.396081,1775.809844,1764.456256,1765.480285,1717.201055,1755.759629,1664.061337,1652.65101,1643.149881,1653.467496,1631.526207,1610.807906,1637.194477,1645.441629,..
Electric power consumption (kWh per capita),Vanuatu,VUT,Oceania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),"Venezuela, RB",VEN,South America,2667.609551,2732.399185,2758.560737,2664.722994,2796.712523,2886.490229,2999.307938,3019.163883,3125.254199,3090.969719,3195.681847,3256.570144,3304.220299,3298.731371,2718.942775,..
Electric power consumption (kWh per capita),Vietnam,VNM,Asia,286.6209725,326.5318801,377.5583969,433.1990598,483.9590025,569.9568573,645.2090193,728.0882438,802.5540455,906.1540859,1022.432667,1102.804979,1206.302894,1276.843711,1423.688345,..
Electric power consumption (kWh per capita),Virgin Islands (U.S.),VIR,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),West Bank and Gaza,PSE,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),"Yemen, Rep.",YEM,Asia,142.7416694,147.3906141,155.2834517,165.6570977,173.3870526,183.6636436,193.8838281,211.2062414,230.128193,226.9895001,254.849361,193.803757,193.8040086,250.9632419,219.7999224,..
Electric power consumption (kWh per capita),Zambia,ZMB,Africa,597.5454553,618.675701,644.1117865,663.4245803,685.1567212,692.7149881,704.5623803,664.1628325,589.5616074,568.4389699,590.548982,631.7391481,733.2119794,747.0603967,717.3491679,..
Electric power consumption (kWh per capita),Zimbabwe,ZWE,Africa,897.8681691,872.0291005,878.3457654,879.636368,855.7466976,891.8827902,871.9516143,760.2039243,627.8904021,585.4569118,606.6441991,636.2493365,608.7625049,628.7472783,609.1259521,..
GDP (current US$),Afghanistan,AFG,Asia,..,..,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109225814,12439087077,15856574731,17804292964,20001598506,20561069558,20484885120,19907111419
GDP (current US$),Albania,ALB,Europe,3480355189,3922099471,4348070165,5611492283,7184681399,8052075642,8896073938,10677321490,12881354104,12044223353,11926928506,12890765324,12319830252,12776217195,13228144008,11386846319
GDP (current US$),Algeria,DZA,Africa,54790233856,54744725766,56760246982,67863841333,85325003122,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.66E+11
GDP (current US$),American Samoa,ASM,Oceania,..,..,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,642000000,661000000
GDP (current US$),Andorra,AND,Europe,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188
GDP (current US$),Angola,AGO,Africa,9129594819,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,1.12E+11,1.28E+11,1.37E+11,1.46E+11,1.16E+11
GDP (current US$),Antigua and Barbuda,ATG,North America,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593
GDP (current US$),Argentina,ARG,South America,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11
GDP (current US$),Armenia,ARM,Asia,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673
GDP (current US$),Aruba,ABW,North America,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2701675978,2765363128,2919553073
GDP (current US$),Australia,AUS,Oceania,4.15E+11,3.78E+11,3.95E+11,4.66E+11,6.12E+11,6.93E+11,7.46E+11,8.53E+11,1.05E+12,9.28E+11,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12
GDP (current US$),Austria,AUT,Europe,1.97E+11,1.97E+11,2.13E+11,2.62E+11,3.01E+11,3.16E+11,3.36E+11,3.89E+11,4.30E+11,4.00E+11,3.92E+11,4.31E+11,4.09E+11,4.30E+11,4.42E+11,3.82E+11
GDP (current US$),Azerbaijan,AZE,Asia,5272617196,5707720391,6235856820,7276013032,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486
GDP (current US$),"Bahamas, The",BHS,North America,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10568400000,11111600000,11710800000
GDP (current US$),Bahrain,BHR,Asia,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298
GDP (current US$),Bangladesh,BGD,Asia,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11
GDP (current US$),Barbados,BRB,North America,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217500000,4674000000,4785000000,4465500000,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000
GDP (current US$),Belarus,BLR,Europe,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397
GDP (current US$),Belgium,BEL,Europe,2.36E+11,2.37E+11,2.57E+11,3.17E+11,3.69E+11,3.86E+11,4.08E+11,4.70E+11,5.15E+11,4.81E+11,4.81E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11
GDP (current US$),Belize,BLZ,North America,832050000,868350000,925050000,983500000,1051350000,1102050000,1210150000,1271600000,1351350000,1317300000,1377200000,1460800000,1522900000,1579400000,1662800000,1723800000
GDP (current US$),Benin,BEN,Africa,3511248900,3663017700,4174634520,5337266688,6179176459,6565043460,7027863025,8158257572,9748276762,9699586794,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958
GDP (current US$),Bermuda,BMU,North America,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000
GDP (current US$),Bhutan,BTN,Asia,424464089.9,461444513.7,520849551.5,604041957.9,682523857,796938120.2,874989895.6,1168308517,1227808791,1234014292,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213
GDP (current US$),Bolivia,BOL,South America,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631314,23963033431,27084497483,30659338880,32996188013,33000198248
GDP (current US$),Bosnia and Herzegovina,BIH,Europe,5505887894,5748993411,6651106833,8369878823,10596205714,11222953519,12864610994,15778767670,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16211541820
GDP (current US$),Botswana,BWA,Africa,5788329609,5489608300,5438857107,7511582173,8957467707,9918907108,10137883299,10939053365,10945070442,10267133178,12786654498,15351972361,14380004175,14901750991,16250781587,14420593484
GDP (current US$),Brazil,BRA,South America,6.55E+11,5.59E+11,5.08E+11,5.58E+11,6.69E+11,8.92E+11,1.11E+12,1.40E+12,1.70E+12,1.67E+12,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12
GDP (current US$),British Virgin Islands,VGB,North America,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),Brunei Darussalam,BRN,Asia,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19047940301,18093829923,17098342541,12930394938
GDP (current US$),Bulgaria,BGR,Europe,13245833844,14183497963,16402846413,21144983552,26157894737,29869283400,34379808889,44405101470,54438966420,52023504656,50381825504,57386216850,54033250329,55615397666,56901994980,50647442757
GDP (current US$),Burkina Faso,BFA,Africa,2956746304,3190371050,3622350204,4740768355,5451688868,6146352742,6547420134,7625723124,9451436359,9450697336,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276
GDP (current US$),Burundi,BDI,Africa,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858
GDP (current US$),Cabo Verde,CPV,Africa,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1865915544,1741809809,1850470042,1859898513,1596800287
GDP (current US$),Cambodia,KHM,Asia,3677897739,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289
GDP (current US$),Cameroon,CMR,Africa,10083937740,10371327756,11579343088,14548845765,17430933517,17944084201,19356046328,22365265026,26409781215,26017925552,26169323293,29375448542,29102772799,32357345501,34989493826,30928653814
GDP (current US$),Canada,CAN,North America,7.42E+11,7.36E+11,7.58E+11,8.92E+11,1.02E+12,1.17E+12,1.32E+12,1.46E+12,1.55E+12,1.37E+12,1.61E+12,1.79E+12,1.83E+12,1.85E+12,1.80E+12,1.56E+12
GDP (current US$),Cayman Islands,CYM,North America,..,..,..,..,..,..,4200439499,4466438823,4586114070,4281868766,4156990816,4186223865,4291158968,4405954696,4563017852,4708336756
GDP (current US$),Central African Republic,CAF,Africa,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,2059094048,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708
GDP (current US$),Chad,TCD,Africa,1385058162,1710843361,1997005787,2742815195,4422855929,6649307057,7428701809,8650138069,10393834721,9290728773,10668102735,12172309523,12367363678,12953535496,13940768066,10950392220
GDP (current US$),Channel Islands,CHI,Europe,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,..,..,..,..,..,..,..,..
GDP (current US$),Chile,CHL,South America,77860932152,70979923960,69736811435,75643459840,99210392858,1.23E+11,1.55E+11,1.74E+11,1.80E+11,1.72E+11,2.19E+11,2.52E+11,2.67E+11,2.78E+11,2.61E+11,2.44E+11
GDP (current US$),China,CHN,Asia,1.21E+12,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13
GDP (current US$),Colombia,COL,South America,99886577331,98211749596,97963003805,94641378693,1.17E+11,1.46E+11,1.62E+11,2.06E+11,2.42E+11,2.32E+11,2.87E+11,3.35E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11
GDP (current US$),Comoros,COM,Africa,350264287.7,378512003.4,425964697.4,546885185,633706149.3,653845122.9,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542
GDP (current US$),"Congo, Dem. Rep.",COD,Africa,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900
GDP (current US$),"Congo, Rep.",COG,Africa,3219910550,2796704577,3034251042,3503723245,4656975223,6650001214,8072305415,8782703767,11649858744,9723300391,13148395202,15655384440,17692912613,17958721572,17783526318,11953249530
GDP (current US$),Costa Rica,CRI,North America,14949514493,15913363441,16504795593,17196009811,18528955525,19948261084,22602721765,26743972564,30612927059,30562361123,37268614024,42262697840,46473128286,49745088112,50577769838,54775994479
GDP (current US$),Cote d'Ivoire,CIV,Africa,10717022463,11202353585,12405208665,15340993079,16584164236,17091723906,17816714954,20370544322,24322959641,24375209178,24908781285,25414875503,26789047555,31273074528,35363533866,45814637971
GDP (current US$),Croatia,HRV,Europe,21633671681,23054778851,26813968851,34682900713,41587470547,45376744002,50423077102,60073426977,70234425974,62600093959,59918313669,62537851352,56580819624,58194069434,57639588806,49525747504
GDP (current US$),Cuba,CUB,North America,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000
GDP (current US$),Curacao,CUW,North America,..,..,..,..,..,..,..,..,..,..,..,3038699609,3131096089,3147616201,3158406034,3151910782
GDP (current US$),Cyprus,CYP,Asia,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23156850007,19842404305
GDP (current US$),Czech Republic,CZE,Europe,61828166496,67808032980,82196001051,1.00E+11,1.20E+11,1.37E+11,1.56E+11,1.90E+11,2.37E+11,2.07E+11,2.09E+11,2.30E+11,2.09E+11,2.12E+11,2.09E+11,1.88E+11
GDP (current US$),Denmark,DNK,Europe,1.64E+11,1.65E+11,1.79E+11,2.18E+11,2.51E+11,2.64E+11,2.83E+11,3.19E+11,3.53E+11,3.21E+11,3.22E+11,3.44E+11,3.27E+11,3.44E+11,3.53E+11,3.03E+11
GDP (current US$),Djibouti,DJI,Africa,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214681574,2430287967
GDP (current US$),Dominica,DMA,North America,333468888.9,340205074.1,333195185.2,343310666.7,367199111.1,364255074.1,390250148.1,421375851.9,458190185.2,489074333.3,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037
